clink,to rhyme .   . ,to make or cause to make a short  .   sharp  .   ringing sound .  
clink,to rhyme .   . ,to make or cause to make a short  .   sharp  .   ringing sound .  
clink,to rhyme .   . ,to make or cause to make a short  .   sharp  .   ringing sound .  
clip,the product of a single shearing of sheep ,a device that holds or fastens .  
clip,the product of a single shearing of sheep ,to cut off  .   cut out  .   or trim with scissors or shears .  
clip,the product of a single shearing of sheep ,a device that holds or fastens .  
clip,the product of a single shearing of sheep ,to cut off  .   cut out  .   or trim with scissors or shears .  
clipper,a vessel with a sharp bow  built and rigged for fast sailing . , a tool for clipping or cutting .  
clipper,a vessel with a sharp bow  built and rigged for fast sailing . , a tool for clipping or cutting .  
clipping,the act of cutting off  curtailing or diminishing ,a piece cut off or from . 
clipping,the act of cutting off  curtailing or diminishing ,a piece cut off or from . 
cloak,  a cover . ,a long  .   loose  .   outer garment without sleeves .  
cloak,  a cover . ,a long  .   loose  .   outer garment without sleeves .  
clock,a large beetle  esp .  the european dung beetle  . ,a device  .   other than a watch  .   for measuring and showing the time .  
clock,a large beetle  esp .  the european dung beetle  . ,a device  .   other than a watch  .   for measuring and showing the time .  
clod,to collect into clods  or into a thick mass ,a lump of earth or clay .  
clod,to collect into clods  or into a thick mass ,a lump of earth or clay .  
clog,to burden ,to block passage along or through .  
clog,to burden ,to block passage along or through .  
cloister,an inclosed place . ,a place such as a monastery or convent where people live quiet  .   spiritual lives .  
cloister,an inclosed place . ,a place such as a monastery or convent where people live quiet  .   spiritual lives .  
close,disposed to keep secrets ,to stop up ;  shut .  
close,disposed to keep secrets ,to stop up 
close,disposed to keep secrets ,  shut .  
closely,in a close manner . ,carefully and with attention .  
closely,in a close manner . ,carefully and with attention .  
closet,a small room or apartment for retirement ,a small room for storing things such as clothes or supplies . 
closet,a small room or apartment for retirement ,a small room for storing things such as clothes or supplies . 
clot,to concrete  coagulate or thicken as soft or fluid matter by evaporation ;  to become a cot or clod . ,a thick lump or mass of liquid  .   such as blood .  
clot,to concrete  coagulate or thicken as soft or fluid matter by evaporation ;  to become a cot or clod . ,a thick lump or mass of liquid  .   such as blood .  
cloth,a fabric made of fibrous material  ,material made by weaving threads of cotton  .   wool  .   nylon  .   or other fibers 
cloth,a fabric made of fibrous material  ,  fabric .  
cloth,a fabric made of fibrous material  ,material made by weaving threads of cotton  .   wool  .   nylon  .   or other fibers ;  fabric .  
clothe,  to clothe ones self extravagantly . ,to put clothing on ;  dress . 
clothe,  to clothe ones self extravagantly . ,to put clothing on 
clothe,  to clothe ones self extravagantly . ,  dress . 
clothe,  to clothe ones self extravagantly . ,  dress . 
clothe,  to clothe ones self extravagantly . ,to put clothing on ;  dress . 
clothe,  to clothe ones self extravagantly . ,to put clothing on 
clothes,  vestments ,  clothing 
clothes,  vestments ,things worn on the body  .   such as pants  .   shirts  .   and dresses ;  clothing ;  garments . 
clothes,  vestments ,  garments . 
clothes,  vestments ,things worn on the body  .   such as pants  .   shirts  .   and dresses 
clothespin,a forked piece of wood  or a small spring clamp used for fastening clothes on a line . ,a clip or forked peg of wood or plastic  .   used to hold clothes on a line for drying . 
